COMPANY	TICKER
S&P BSE SENSEX	^BSESN
NIFTY 50	^NSEI
ASIAN PAINTS	ASIANPAINT.BO
AXIS ABNK	AXISBANK.BO
BAJAJ AUTO	BAJAJ-AUTO.BO
BAJAJ FINANCE	BAJFINANCE.BO
BAJAJ FINSERV	BAJAJFINSV.BO
BHARTI AIRTEL	BHARTIARTL.BO
HCL TECHNOLOGIES	HCLTECH.BO
HDFC	HDFC.BO
HDFC BANK	HDFCBANK.BO
HINDUSTAN UNILEVER LIMITED	HINDUNILVR.BO
ICICI BANK	ICICIBANK.BO
INDUSIND BANK	INDUSINDBK.BO
INFOSYS	INFY.BO
ITC LIMITED	ITC.BO
KOTAL MAHINDRA BANK	KOTAKBANK.BO
LARSEN & TOUBRO	LT.BO
MAHINDRA & MAHINDRA	M&M.BO
MARUTI SUZUKI	MARUTI.BO
NESTLE INDIA	NESTLEIND.BO
NTPC	NTPC.BO
OIL AND NATURAL GAS CORPORATION	ONGC.BO
POWER GRID CORPORATION OF INDIA	POWERGRID.BO
RELIANCE INDUSTRIES LIMITED	RELIANCE.BO
STATE BANK OF INDIA	SBIN.BO
SUN PHARMA	SUNPHARMA.BO
TATA CONSULTANCY SERVICES	TCS.BO
TATA STEEL	TATASTEEL.BO
TECH MAHINDRA	TECHM.BO
TITAN COMPANY	TITAN.BO
ULTRATECH CEMENT	ULTRACEMCO.BO
